"unit";"74FI_Heat_CoalHeat";"start_up_cost";9987.173504233
"unit";"74FI_Heat_GasHeat";"start_up_cost";552.148073387
"unit";"74FI_Heat_OilHeat";"start_up_cost";2533.032281204
"unit";"74FI_Oil";"start_up_cost";4258.163117016
"unit";"74FI_OilCHP";"start_up_cost";15387.405499094
"unit";"75FI_Biomass1";"start_up_cost";9895.167817437
"unit";"75FI_Biomass1CHP";"start_up_cost";44062.676170079
"unit";"75FI_Biomass2";"start_up_cost";5159.257069780
"unit";"75FI_Biomass2CHP";"start_up_cost";25858.823464358
"unit";"75FI_Coal";"start_up_cost";34562.722264269
"unit";"75FI_CoalCHP";"start_up_cost";99349.758549795
"unit";"75FI_Gas";"start_up_cost";7195.546903685
"unit";"75FI_GasCHP";"start_up_cost";14643.125499895
"unit";"75FI_Heat_Biomass1Heat";"start_up_cost";7410.004513908
"unit";"75FI_Heat_Biomass2Heat";"start_up_cost";9359.101371210
"unit";"75FI_Heat_CoalHeat";"start_up_cost";33215.694313045
"unit";"75FI_Heat_GasHeat";"start_up_cost";564.004453548
"unit";"75FI_Heat_OilHeat";"start_up_cost";2632.640065215
"unit";"75FI_Nuclear";"start_up_cost";20136.084480000
"unit";"75FI_OCGT";"start_up_cost";856.304838224
"unit";"75FI_Oil";"start_up_cost";37811.563128293
"unit";"75FI_OilCHP";"start_up_cost";68318.408480472
"storage";"74FI_Reservoir_Storage";"stor_state_cap";964807.726213234
"storage";"75FI_Reservoir_Storage";"stor_state_cap";1614909.45607642
"storage";"74FI_Reservoir_Storage";"stor_state_min";0.000000000
"storage";"75FI_Reservoir_Storage";"stor_state_min";0.000000000
"storage";"74FI_Reservoir_Storage";"state_coeff";1.000000000
"storage";"75FI_Reservoir_Storage";"state_coeff";1.000000000
"storage";"74FI_Reservoir_Storage";"frac_state_loss";0.000000000
"storage";"75FI_Reservoir_Storage";"frac_state_loss";0.000000000
