"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass1CHP";"Elec";"to_node";"unit_capacity";71.156947976
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass2";"Elec";"to_node";"unit_capacity";41.504712069
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass2CHP";"Elec";"to_node";"unit_capacity";71.156947976
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Coal";"Elec";"to_node";"unit_capacity";312.920321281
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_CoalCHP";"Elec";"to_node";"unit_capacity";343.347309347
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Gas";"Elec";"to_node";"unit_capacity";92.695839650
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_GasCHP";"Elec";"to_node";"unit_capacity";95.352349804
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_Biomass1Heat";"Heat";"to_node";"unit_capacity";49.834914876
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_Biomass2Heat";"Heat";"to_node";"unit_capacity";46.783797638
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_CoalHeat";"Heat";"to_node";"unit_capacity";395.047990673
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_GasHeat";"Heat";"to_node";"unit_capacity";9.973668371
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_OilHeat";"Heat";"to_node";"unit_capacity";24.034393850
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_HydroReservoir";"Elec";"to_node";"unit_capacity";612.058649890
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_HydroRoR";"Elec";"to_node";"unit_capacity";49.611227739
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Nuclear";"Elec";"to_node";"unit_capacity";729.600000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_OCGT";"Elec";"to_node";"unit_capacity";38.047899125
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Oil";"Elec";"to_node";"unit_capacity";243.684021723
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_OilCHP";"Elec";"to_node";"unit_capacity";167.111736397
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_PV";"Elec";"to_node";"unit_capacity";0.904479524
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Wind";"Elec";"to_node";"unit_capacity";2.999273047
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_ElectricHeat";"Elec";"from_node";"unit_capacity";28.998480518
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_ElectricHeat";"Elec";"from_node";"unit_capacity";257.500205281
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Wind";"Elec";"to_node";"vom_cost";2.000000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Wind";"Elec";"to_node";"vom_cost";2.000000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_PV";"Elec";"to_node";"vom_cost";0.100000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_PV";"Elec";"to_node";"vom_cost";0.100000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass1";"Elec";"to_node";"vom_cost";2.588000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Biomass1";"Elec";"to_node";"vom_cost";2.588000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Biomass1CHP";"Elec";"to_node";"vom_cost";1.537686080
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass1CHP";"Elec";"to_node";"vom_cost";1.537686080
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Heat_Biomass1Heat";"Heat";"to_node";"vom_cost";1.143971014
